tts prec
1.063973e+00 single_single
1.089073e+00 single_single
1.063115e+00 single_single
2.181809e+00 single_single
8.302302e+00 single_single
8.316920e+00 single_single
1.065292e+00 single_single
1.065140e+00 single_single
1.131733e+00 single_single
2.184656e+00 single_single
2.191116e+00 single_single
1.115979e+00 single_single
1.067467e+00 single_single
8.286207e+00 single_single
2.181997e+00 single_single
1.061763e+00 single_single
1.631089e+01 single_single
2.075915e+01 single_single
1.624337e+01 single_single
2.070846e+01 single_single
1.421721e+00 single_single
3.134055e+00 single_single
1.310662e+01 single_single
1.338940e+01 single_half
1.679107e+01 single_half
1.337839e+01 single_half
1.664317e+01 single_half
1.321790e+01 single_half
1.657063e+01 single_half
1.138503e+00 single_half
1.941101e+00 single_half
9.748116e+00 single_half
7.386940e+00 single_half
1.822514e+00 single_half
9.557282e-01 single_half
9.457164e-01 single_half
1.016954e+00 single_half
9.446885e-01 single_half
1.815481e+00 single_half
1.830615e+00 single_half
9.428845e-01 single_half
9.818101e-01 single_half
1.034768e+00 single_half
1.822002e+00 single_half
7.390115e+00 single_half
7.387776e+00 single_half
9.537846e-01 single_half
1.045164e+00 single_half
9.651549e-01 single_half
1.840804e+00 single_half
1.818995e+00 single_half
9.721559e-01 single_half
1.014781e+00 single_half
9.450056e-01 single_half
1.834513e+00 single_half
7.408027e+00 single_half
9.566918e-01 single_half
9.657386e-01 single_half
9.864474e-01 single_half
1.837941e+00 single_half
1.841248e+00 single_half
9.458125e-01 single_half
9.444192e-01 single_half
9.976485e-01 single_half
1.837564e+00 single_half
7.396114e+00 single_half
7.433621e+00 single_half
9.504763e-01 single_half
9.463412e-01 single_half
1.054344e+00 single_half
1.847060e+00 single_half
1.856459e+00 single_half
9.432126e-01 single_half
1.025832e+00 single_half
9.487545e-01 single_half
1.840927e+00 single_half
7.424737e+00 single_half
9.589044e-01 single_half
9.620330e-01 single_half
9.571242e-01 single_half
1.853705e+00 single_half
1.876768e+00 single_half
9.511482e-01 single_half
9.451042e-01 single_half
9.703339e-01 single_half
1.837478e+00 single_half
7.499829e+00 single_half
7.408492e+00 single_half
9.523288e-01 single_half
9.514003e-01 single_half
9.890555e-01 single_half
1.937152e+00 single_half
1.863130e+00 single_half
9.540168e-01 single_half
9.546158e-01 single_half
1.015021e+00 single_half
1.848624e+00 single_half
7.470812e+00 single_half
1.007824e+00 single_half
9.563114e-01 single_half
9.577745e-01 single_half
1.856541e+00 single_half
1.870356e+00 single_half
9.817414e-01 single_half
9.487356e-01 single_half
9.584008e-01 single_half
1.852997e+00 single_half
7.516824e+00 single_half
7.477656e+00 single_half
1.075639e+00 single_half
9.474212e-01 single_half
9.793528e-01 single_half
1.876076e+00 single_half
1.845202e+00 single_half
9.537052e-01 single_half
1.026557e+00 single_half
9.434264e-01 single_half
1.835082e+00 single_half
7.457343e+00 single_half
1.005998e+00 single_half
9.618958e-01 single_half
9.509139e-01 single_half
1.833400e+00 single_half
1.844551e+00 single_half
9.518443e-01 single_half
9.510046e-01 single_half
9.596966e-01 single_half
1.857037e+00 single_half
7.482097e+00 single_half
7.488999e+00 single_half
9.816571e-01 single_half
9.686660e-01 single_half
9.578419e-01 single_half
1.830013e+00 single_half
1.838908e+00 single_half
9.686501e-01 single_half
9.515634e-01 single_half
9.680968e-01 single_half
1.860130e+00 single_half
7.426443e+00 single_half
9.565142e-01 single_half
1.061723e+00 single_half
9.495937e-01 single_half
1.818101e+00 single_half
1.815934e+00 single_half
9.777325e-01 single_half
9.665717e-01 single_half
9.496782e-01 single_half
1.844893e+00 single_half
7.422074e+00 single_half
7.420130e+00 single_half
9.595400e-01 single_half
9.595811e-01 single_half
1.057206e+00 single_half
1.805443e+00 single_half
1.821938e+00 single_half
9.500621e-01 single_half
9.455903e-01 single_half
9.532942e-01 single_half
1.834790e+00 single_half
7.406819e+00 single_half
9.442888e-01 single_half
9.560972e-01 single_half
9.627086e-01 single_half
1.821301e+00 single_half
1.831674e+00 single_half
9.491430e-01 single_half
1.015403e+00 single_half
9.589686e-01 single_half
1.841318e+00 single_half
7.496459e+00 single_half
7.416849e+00 single_half
9.639631e-01 single_half
9.468905e-01 single_half
9.701793e-01 single_half
1.852233e+00 single_half
1.871386e+00 single_half
9.594326e-01 single_half
9.559735e-01 single_half
9.499301e-01 single_half
1.841243e+00 single_half
7.481154e+00 single_half
9.496156e-01 single_half
1.022070e+00 single_half
9.594656e-01 single_half
1.865912e+00 single_half
1.866504e+00 single_half
9.544356e-01 single_half
9.647832e-01 single_half
9.512630e-01 single_half
1.843658e+00 single_half
7.490915e+00 single_half
7.506876e+00 single_half
9.568916e-01 single_half
9.525896e-01 single_half
9.527441e-01 single_half
1.861987e+00 single_half
1.845599e+00 single_half
9.875445e-01 single_half
9.700327e-01 single_half
9.766878e-01 single_half
1.844631e+00 single_half
7.440328e+00 single_half
9.504804e-01 single_half
1.003660e+00 single_half
9.452063e-01 single_half
1.830630e+00 single_half
1.833874e+00 single_half
9.802316e-01 single_half
9.976732e-01 single_half
9.512451e-01 single_half
1.825859e+00 single_half
7.405486e+00 single_half
7.365055e+00 single_half
9.786872e-01 single_half
9.733400e-01 single_half
1.013486e+00 single_half
1.795272e+00 single_half
1.811127e+00 single_half
9.792322e-01 single_half
9.588346e-01 single_half
9.479812e-01 single_half
1.817400e+00 single_half
7.418073e+00 single_half
9.614403e-01 single_half
1.040635e+00 single_half
9.538271e-01 single_half
1.827883e+00 single_half
1.858125e+00 single_half
9.660849e-01 single_half
9.845506e-01 single_half
1.049699e+00 single_half
1.793831e+00 single_half
7.465282e+00 single_half
7.447696e+00 single_half
9.756032e-01 single_half
1.065780e+00 single_half
9.524892e-01 single_half
1.822627e+00 single_half
1.828784e+00 single_half
9.980653e-01 single_half
9.510419e-01 single_half
9.760524e-01 single_half
1.805706e+00 single_half
7.457350e+00 single_half
9.472333e-01 single_half
9.620046e-01 single_half
1.018465e+00 single_half
1.816864e+00 single_half
1.837069e+00 single_half
9.494154e-01 single_half
9.554245e-01 single_half
9.492347e-01 single_half
1.833883e+00 single_half
7.387112e+00 single_half
7.427163e+00 single_half
9.492289e-01 single_half
9.614831e-01 single_half
9.479211e-01 single_half
1.811309e+00 single_half
1.821040e+00 single_half
9.557381e-01 single_half
1.049357e+00 single_half
9.537697e-01 single_half
1.822521e+00 single_half
7.364168e+00 single_half
9.469187e-01 single_half
9.478070e-01 single_half
9.517652e-01 single_half
1.867209e+00 single_half
1.822409e+00 single_half
9.533715e-01 single_half
9.497775e-01 single_half
9.929760e-01 single_half
1.866969e+00 single_half
7.486894e+00 single_half
7.484259e+00 single_half
9.438007e-01 single_half
9.504497e-01 single_half
9.925680e-01 single_half
1.825967e+00 single_half
1.807465e+00 single_half
9.684062e-01 single_half
9.425105e-01 single_half
1.003870e+00 single_half
1.829169e+00 single_half
7.519421e+00 single_half
9.923172e-01 single_half
9.558978e-01 single_half
9.466097e-01 single_half
1.818081e+00 single_half
1.829784e+00 single_half
9.415032e-01 single_half
9.464171e-01 single_half
9.393761e-01 single_half
1.831040e+00 single_half
7.373793e+00 single_half
7.404546e+00 single_half
1.071680e+00 single_half
9.465162e-01 single_half
9.623080e-01 single_half
1.833959e+00 single_half
1.847497e+00 single_half
9.483572e-01 single_half
9.826884e-01 single_half
9.634746e-01 single_half
1.829729e+00 single_half
7.363216e+00 single_half
9.674421e-01 single_half
1.002203e+00 single_half
9.529470e-01 single_half
1.836477e+00 single_half
1.817859e+00 single_half
9.508211e-01 single_half
1.059452e+00 single_half
9.451114e-01 single_half
1.819294e+00 single_half
7.414256e+00 single_half
7.355413e+00 single_half
9.996874e-01 single_half
9.452953e-01 single_half
9.497187e-01 single_half
1.836627e+00 single_half
1.844765e+00 single_half
1.015163e+00 single_half
9.624851e-01 single_half
9.527567e-01 single_half
1.838249e+00 single_half
7.377678e+00 single_half
9.857344e-01 single_half
9.461626e-01 single_half
9.956839e-01 single_half
1.863938e+00 single_half
1.821316e+00 single_half
9.740870e-01 single_half
9.494339e-01 single_half
1.017020e+00 single_half
1.825491e+00 single_half
7.377669e+00 single_half
7.369535e+00 single_half
1.011675e+00 single_half
9.566353e-01 single_half
9.456655e-01 single_half
1.818087e+00 single_half
1.832155e+00 single_half
9.526055e-01 single_half
1.005508e+00 single_half
7.342753e+00 single_half
1.807632e+00 single_half
1.005378e+00 single_half
1.336671e+01 single_half
1.677480e+01 single_half
1.353407e+01 single_half
1.673897e+01 single_half
1.254875e+00 single_half
2.479647e+00 single_half
1.085124e+01 single_half
